fruittentje frˈœytɛntʲə
arabische aːrˈaːbisə
afrikaanse ˈaːfrikˌaːnsə
soui sˈʌʊi
metrotruck mˈɛtrɔtrˌɵk
theekoker tˈeːkoːkər
beeldhouwkunstwerk bˈeːldhʌʊkˌɵnstʋɛrk
beursachtige bˈøːrsɑxtəɣə
11 ˈɛlf
snowboardploeg snˌɔʋboːɑrdplˈux
menuborden mˈeːnybˌɔrdən
quentero kvɛntˈɪːroː
vliegve vlˈiɣvə
zuid-amerika zˈœydaːmˈɪːrikˌaː
voertagen vurtˈaːɣən
gewii't ɣəʋˈit
koelkest kˈulkɛst
donutwinkel dˌoːnɵtʋɪŋkˈɛl
achtergrondhuizen ˈɑxtərɣrˌɔndhœyzən
wii-collectie ʋˈikɔlˈɛksi
aziatische ˌaːziˈaːtisə
orang-oetangs ˈoːrɑŋˈutɑŋs
fruit's frˈœyts
post-it's pˈɔstˈɪts
zuigknoppen zˈœyxknɔpən
vaasachtig vˈaːsɑxtəx
gobed ɣˈoːbɛt
bouwplek bˈʌʊplɛk
dashboard dˈɑʃboːˌɑrt
journalist ʒˌurnaːlˈɪst
britse brˈɪtsə
paars-rode pˈaːrsrˈoːdə
fruitmarkt frˈœytmɑrkt
pick-up pˈɪk(en)ˈʌp(nl)
d'orange dˈoːrɑŋə
take-away tˈaːkəˈaːʋaːj
linkerkast lˈɪŋkərkˌɑst
vrachtgoederentrein vrˈɑxtɣudˌɪːrəntrˌɛɪn
heelveel heːlvˈeːl
geldtruck ɣˈɛltrɵk
beigeachtige bˈɛʒəˌɑxtəɣə
water-aandrijvingsding ʋˈaːtərˈaːndrˌɛɪvɪŋzdˌɪŋ
fiësta fiˈɛstaː
stadsetting stˈɑtsˌɛtɪŋ
verkeerswijzer vərkˈɪːrsʋˌɛɪzər
etages eːtˈaːʒəs
bureau-organiser byrˈoːˈɔrɣaːnˌizər
lauwers lˈʌʊərs
ipods ˈipɔts
jacket jˈɑkɛt
jazz jˈɑs
verkeersbemiddelaar vərkˈɪːrsbəmˌɪdəlˌaːr
vitel vitˈɛl
doorkijkluik dˈɔːrkɛɪklˌœyk
rotskaap rɔtskˈaːp
kleedkam klˈeːdkɑm
etalages ˌeːtaːlˈaːʒəs
08 nˈɵl
midden-oosten mˈɪdənˈoːstən
cowboyachtig kˈɔʋboːˌiɑxtəx
7 zˈeːvən
voersbussen vˈurzbɵsən
überhaupt ˈybərhˌʌʊpt
skateboard skˈaːtəbˌoːɑrt
japanse jˈaːpɑnsə
autoraam ˌʌʊtoːrˈaːm
oudbollige ʌʊdbˈɔləɣə
bagage baːɣˈaːʒə
jungle jˈɵŋlə
rommerig rɔmˈɪːrəx
chocoladesaus ʃˈoːkoːlˌaːdəzˌʌʊs
keepport kˈeːpɔrt
49 nˈeːɣənɛnfˌɪːrtəx
board bˈoːɑrt
vertrouwensband vərtrˈʌʊənzbˌɑnt
gefoto ɣəfˈoːtoː
zonbeschermer zˈɔnbɛsxˌɛrmər
unionstreet ˌyniɔnstrˈeːt
chinese ʃinˈeːsə
studiedesk stˈydidˌɛsk
it's ˈɪts
blauwig blˈʌʊəx
70 zˈeːvəntəx
schui sxˈœy
keuke kˈøːkə
regenboogbeugel rˌeːɣənbˌoːɣbøːɣˈɛl
46 zˈɛsɛnfˌɪːrtəx
39 nˈeːɣənɛndˌɛrtəx
peddleboarden pˈɛdləbˌoːɑrdən
strijkrek strˈɛɪkrɛk
uithangbordjes ˈœythˌɑŋbɔrtjəs
macbook mɑkbˈoːk
bureaudesk byrˈoːdɛsk
blousje blˈʌʊsjə
constructiesite kˈɔnstrɵktˌizitə
vliegtuigveld vlˈixtœyɣvəlt
wintersportgebergte ʋˈɪntərspˌɔrtɣəbərxtˌeː
passagiers pˌɑsaːɣˈirs
dierenartspraktijk-achtig-iets dˈirənˌɑrtsprɑktˌɛɪkˈɑxtəɣˈits
originele ˌoːriɣinˈeːlə
skateboarden skˈaːtəbˌoːɑrdən
regenboogkraaltjes rˈeːɣənbˌoːxkraːltʲəs
vervoersbus vərvˈurzbɵs
zij-wagen zɛɪʋˈaːɣən
aut ˈʌʊt
latex-achtige lˈaːtɛksˈɑxtəɣə
harley-davidson hˈɑrləˌidˌaːvɪdsˈɔn
age ˈaːʒə
postbusje pˈɔstbɵsjə
vleesworstje vlˈeːsʋɔrstʲə
dubbeldekkerbussen dˈɵbɛldˌɛkərbˌɵsən
stadstrammen stˈɑtstrˌɑmən
stad-setting stˈɑdsˈɛtɪŋ
trouwjaar trˈʌʊjaːr
brandbluspaal brˈɑndblɵspˌaːl
pizza-etende pˈɪzaːˈeːtəndə
kant-en-klare kˈɑntɛnklˈaːrə
pritington prˌitɪŋtˈɔn
360 drˈihˌɔndərt
opgedekt ˈɔpɣədˌɛkt
peperzout pˈeːpərzˌʌʊt
bankset bˈɑŋksɛt
koffiebussen kˈɔfibˌɵsən
personage pˌɛrsoːnˈaːʒə
opgeta ˈɔpɣətˌaː
keyboard kˈeːibˌoːɑrt
frietine fritˈinə
43 drˈiɛnfˌɪːrtəx
pixar-achtige pˈɪksɑrˈɑxtəɣə
woonkap ʋˈoːnkˌɑp
oerie urˈi
groen-bruinachtige ɣrˈunbrˈœynɑxtəɣə
schooltram sxˈoːltrɑm
pick-ups pˈɪk(en)ˈʌps(nl)
apenfoto's ˌaːpənfˈoːtoːs
parapluhoedje pˈaːrɑplˌyhutjə
stoprichten stˈɔprɪxtən
panterhanddoeken pˈɑntərhˌɑndukən
koelie's kulˈis
x50 ˈɪks
mineola's mˌinəˈoːlaːs
beanbag bəˈɑnbɑx
make-up mˈaːkə(en)ˈʌp(nl)
brandweertruck brˈɑndʋɪːrtrˌɵk
linkervrouw lˈɪŋkərvrˌʌʊ
gekitesurft ɣəkˈitəzˌɵrft
fruitkraampje frˈœytkraːmpjə
postservice pˈɔstsɵvəs
journaal ʒurnˈaːl
mad's mˈɑts
