fruittentje f_r_ˈœy_t_ɛ_n_tʲ_ə_
arabische aː_r_ˈaː_b_i_s_ə_
afrikaanse ˈaː_f_r_i_k_ˌaː_n_s_ə_
soui s_ˈʌʊ_i_
metrotruck m_ˈɛ_t_r_ɔ_t_r_ˌɵ_k_
theekoker t_ˈeː_k_oː_k_ə_r_
beeldhouwkunstwerk b_ˈeː_l_d_h_ʌʊ_k_ˌɵ_n_s_t_ʋ_ɛ_r_k_
beursachtige b_ˈøː_r_s_ɑ_x_t_ə_ɣ_ə_
11 ˈɛ_l_f_
snowboardploeg s_n_ˌɔ_ʋ_b_oː_ɑ_r_d_p_l_ˈu_x_
menuborden m_ˈeː_n_y_b_ˌɔ_r_d_ə_n_
quentero k_v_ɛ_n_t_ˈɪː_r_oː_
vliegve v_l_ˈi_ɣ_v_ə_
zuid-amerika z_ˈœy_d_aː_m_ˈɪː_r_i_k_ˌaː_
voertagen v_u_r_t_ˈaː_ɣ_ə_n_
gewii't ɣ_ə_ʋ_ˈi_t_
koelkest k_ˈu_l_k_ɛ_s_t_
donutwinkel d_ˌoː_n_ɵ_t_ʋ_ɪ_ŋ_k_ˈɛ_l_
achtergrondhuizen ˈɑ_x_t_ə_r_ɣ_r_ˌɔ_n_d_h_œy_z_ə_n_
wii-collectie ʋ_ˈi_k_ɔ_l_ˈɛ_k_s_i_
aziatische ˌaː_z_i_ˈaː_t_i_s_ə_
orang-oetangs ˈoː_r_ɑ_ŋ_ˈu_t_ɑ_ŋ_s_
fruit's f_r_ˈœy_t_s_
post-it's p_ˈɔ_s_t_ˈɪ_t_s_
zuigknoppen z_ˈœy_x_k_n_ɔ_p_ə_n_
vaasachtig v_ˈaː_s_ɑ_x_t_ə_x_
gobed ɣ_ˈoː_b_ɛ_t_
bouwplek b_ˈʌʊ_p_l_ɛ_k_
dashboard d_ˈɑ_ʃ_b_oː_ˌɑ_r_t_
journalist ʒ_ˌu_r_n_aː_l_ˈɪ_s_t_
britse b_r_ˈɪ_t_s_ə_
paars-rode p_ˈaː_r_s_r_ˈoː_d_ə_
fruitmarkt f_r_ˈœy_t_m_ɑ_r_k_t_
pick-up p_ˈɪ_k_(en)_ˈʌ_p_(nl)_
d'orange d_ˈoː_r_ɑ_ŋ_ə_
take-away t_ˈaː_k_ə_ˈaː_ʋ_aː_j_
linkerkast l_ˈɪ_ŋ_k_ə_r_k_ˌɑ_s_t_
vrachtgoederentrein v_r_ˈɑ_x_t_ɣ_u_d_ˌɪː_r_ə_n_t_r_ˌɛɪ_n_
heelveel h_eː_l_v_ˈeː_l_
geldtruck ɣ_ˈɛ_l_t_r_ɵ_k_
beigeachtige b_ˈɛ_ʒ_ə_ˌɑ_x_t_ə_ɣ_ə_
water-aandrijvingsding ʋ_ˈaː_t_ə_r_ˈaː_n_d_r_ˌɛɪ_v_ɪ_ŋ_z_d_ˌɪ_ŋ_
fiësta f_i_ˈɛ_s_t_aː_
stadsetting s_t_ˈɑ_t_s_ˌɛ_t_ɪ_ŋ_
verkeerswijzer v_ə_r_k_ˈɪː_r_s_ʋ_ˌɛɪ_z_ə_r_
etages eː_t_ˈaː_ʒ_ə_s_
bureau-organiser b_y_r_ˈoː_ˈɔ_r_ɣ_aː_n_ˌi_z_ə_r_
lauwers l_ˈʌʊ_ə_r_s_
ipods ˈi_p_ɔ_t_s_
jacket j_ˈɑ_k_ɛ_t_
jazz j_ˈɑ_s_
verkeersbemiddelaar v_ə_r_k_ˈɪː_r_s_b_ə_m_ˌɪ_d_ə_l_ˌaː_r_
vitel v_i_t_ˈɛ_l_
doorkijkluik d_ˈɔː_r_k_ɛɪ_k_l_ˌœy_k_
rotskaap r_ɔ_t_s_k_ˈaː_p_
kleedkam k_l_ˈeː_d_k_ɑ_m_
etalages ˌeː_t_aː_l_ˈaː_ʒ_ə_s_
08 n_ˈɵ_l_ˌɑ_x_t_
midden-oosten m_ˈɪ_d_ə_n_ˈoː_s_t_ə_n_
cowboyachtig k_ˈɔ_ʋ_b_oː_ˌi_ɑ_x_t_ə_x_
7 z_ˈeː_v_ə_n_
voersbussen v_ˈu_r_z_b_ɵ_s_ə_n_
überhaupt ˈy_b_ə_r_h_ˌʌʊ_p_t_
skateboard s_k_ˈaː_t_ə_b_ˌoː_ɑ_r_t_
japanse j_ˈaː_p_ɑ_n_s_ə_
autoraam ˌʌʊ_t_oː_r_ˈaː_m_
oudbollige ʌʊ_d_b_ˈɔ_l_ə_ɣ_ə_
bagage b_aː_ɣ_ˈaː_ʒ_ə_
jungle j_ˈɵ_ŋ_l_ə_
rommerig r_ɔ_m_ˈɪː_r_ə_x_
chocoladesaus ʃ_ˈoː_k_oː_l_ˌaː_d_ə_z_ˌʌʊ_s_
keepport k_ˈeː_p_ɔ_r_t_
49 n_ˈeː_ɣ_ə_n_ɛ_n_f_ˌɪː_r_t_ə_x_
board b_ˈoː_ɑ_r_t_
vertrouwensband v_ə_r_t_r_ˈʌʊ_ə_n_z_b_ˌɑ_n_t_
gefoto ɣ_ə_f_ˈoː_t_oː_
zonbeschermer z_ˈɔ_n_b_ɛ_s_x_ˌɛ_r_m_ə_r_
unionstreet ˌy_n_i_ɔ_n_s_t_r_ˈeː_t_
chinese ʃ_i_n_ˈeː_s_ə_
studiedesk s_t_ˈy_d_i_d_ˌɛ_s_k_
it's ˈɪ_t_s_
blauwig b_l_ˈʌʊ_ə_x_
70 z_ˈeː_v_ə_n_t_ə_x_
schui s_x_ˈœy_
keuke k_ˈøː_k_ə_
regenboogbeugel r_ˌeː_ɣ_ə_n_b_ˌoː_ɣ_b_øː_ɣ_ˈɛ_l_
46 z_ˈɛ_s_ɛ_n_f_ˌɪː_r_t_ə_x_
39 n_ˈeː_ɣ_ə_n_ɛ_n_d_ˌɛ_r_t_ə_x_
peddleboarden p_ˈɛ_d_l_ə_b_ˌoː_ɑ_r_d_ə_n_
